section_id,s_node,e_node,length
0,25034,26248,21.63659231651937
1,1,6531,124.35297862385372
2,432,28579,16.334128486424053
3,28579,34,55.52552911606645
4,18,31245,26.79545834414025
5,17,25329,98.83689618020296
6,16,4049,174.23031491896205
7,13,26214,20.03971701104396
8,29,16,49.00392617314609
9,25329,3,116.83816782781145
10,30,24,48.22747814661314
11,1,6630,8.53958477087769
12,25882,21534,201.61785953607847
13,21534,2252,13.700705675112756
14,20,38,61.15875919813098
15,38,20,61.15875919813097
16,18540,33,20.159810627486124
17,33,18540,20.159810627486124
18,21180,26136,36.3999583398342
19,26136,21180,36.3999583398342
20,1678,27126,44.99339891027526
21,50,5478,26.48394794122992
22,14660,21108,351.7912924595594
23,4136,65,231.2415007836147
24,65,4136,231.2415007836147
25,68,25160,34.35151289405335
26,25160,68,34.35151289405334
27,97,3579,54.85642732176539
28,32945,98,23.755677497050797
29,337,24689,61.14995800286715
30,5548,120,43.714344085760615
31,124,125,52.78149931845935
32,121,122,133.6642674011839
33,122,121,133.6642674011839
34,128,19135,72.56007356318129
35,19135,130,25.86061402647526
36,1158,0,118.79429402509186
37,20371,30886,20.74132714908839
38,30886,24030,17.996738338401823
39,54,151,92.49125384032266
40,84,34039,237.15570846229667
41,8,33336,14.675703846166048
42,157,158,67.83656210131724
43,158,159,12.228267533792554
44,159,26135,32.99925738488776
45,26135,160,30.71928847263033
46,160,161,105.55129011832082
47,162,27013,31.89957980993437
48,27013,162,31.89957980993437
49,2263,2285,92.13794237234748
50,2285,2290,84.09550071579663
51,2290,2259,50.99409101321917
52,19208,19212,59.32253209501991
53,19212,19210,67.51447339798828
54,175,176,52.2443990784118
55,176,175,52.2443990784118
56,14551,176,38.98167292556625
57,143,178,23.21682242553473
58,177,14560,36.595953581043766
59,2243,26548,8.995383200296876
60,26548,2243,8.995383200296876
61,193,188,97.05964368890082
62,188,193,97.05964368890082
63,3760,21154,25.499333286443104
64,197,6650,66.81575791056952
65,199,6193,61.42536537124257
66,21136,32540,80.14316743670835
67,32540,3253,42.331562430068686
68,3253,4182,71.12148961412576
69,2229,203,119.64118935804008
70,203,2229,119.64118935804008
71,203,204,77.62912060091834
72,10387,206,114.99164670760106
73,206,10387,114.99164670760106
74,265,31208,65.44010718568244
75,257,23225,230.3637742650568
76,213,214,358.66555466870795
77,238,20587,95.37801925567668
78,20587,238,95.3780192556767
79,20587,239,90.71642461511536
80,239,20587,90.71642461511536
81,8376,8375,41.12672655493177
82,8375,8376,41.12672655493177
83,235,16772,258.1185569383242
84,23247,19145,30.63792591380448
85,221,21567,53.128082326719785
86,21567,221,53.128082326719785
87,7357,16130,86.61324635604154
88,16130,7357,86.61324635604154
89,260,9866,14.957028674577511
90,9866,260,14.957028674577511
91,220,13471,108.87304771055436
92,13471,13483,194.4308953730684
93,13483,221,266.4574416324449
94,211,1135,227.255658687435
95,1135,20118,101.91299393451712
96,13915,3621,85.48799064389783
97,3621,210,56.2344072068592
98,230,10021,55.39415332750726
99,10021,230,55.39415332750726
100,10021,10024,78.16198250640343
101,10024,10021,78.16198250640343
102,10024,231,56.43540495888351
103,231,10024,56.43540495888351
104,210,1134,131.67331418275933
105,1134,20116,70.19183610120285
106,484,233,76.77808590555301
107,233,6954,72.7561484515277
108,6954,234,77.51059708583814
109,6140,212,68.8302175907698
110,264,20430,23.589696120568014
111,20430,6140,24.559835813440205
112,212,498,77.20614084652536
113,498,2575,123.50787172511572
114,2575,496,116.59729735845976
115,263,2580,117.19881000119894
116,2580,22549,53.00615253582616
117,22549,497,64.70547364527567
118,497,264,94.09725644111612
119,14994,23761,16.490739775128926
120,25,26,69.44382631763959
121,267,23219,40.99499989004807
122,23219,20609,64.70748960665452
123,20609,10694,65.91282290279717
124,10694,268,67.97248543456449
125,272,274,65.69038627033231
126,275,26105,7.236541717475996
127,276,281,44.421068719997976
128,281,23594,52.71802222283471
129,23594,281,52.71802222283471
130,283,17741,41.12254873739819
131,17741,17740,56.43290732093749
132,17740,23600,65.09472728337705
133,23600,284,52.16592085494681
134,269,24027,115.56727012795756
135,24027,269,115.56727012795756
136,2195,2197,29.48454455636722
137,196,26025,16.00324295817954
138,26025,196,16.00324295817954
139,667,293,105.4230106889666
140,293,667,105.4230106889666
141,669,1940,74.27242967535287
142,1940,289,76.96771767901424
143,291,553,106.92784098478856
144,553,675,82.00823148959903
145,675,292,86.25290888325318
146,296,302,70.63714534783975
147,302,309,70.6894112580264
148,309,7246,62.53010778062541
149,7246,16569,30.44535833700581
150,16570,7245,54.034774592082506
151,7245,298,60.56591726178217
152,298,299,68.80859070793589
153,301,298,81.38795072124611
154,298,309,95.35904689314742
155,309,303,110.64956654352724
156,292,571,95.68536335468102
157,16567,16566,65.03382700884377
158,16566,16568,75.72857952512625
159,16568,16569,126.6457885203744
160,16569,29853,73.67196962500363
161,29853,16570,45.27590452705292
162,16570,23801,25.190067922572133
163,271,139,37.57494916477982
164,311,1650,14.729384888184477
165,1673,3763,59.16040878389036
166,3763,3761,22.711949567986707
167,3761,326,69.9136427718339
168,326,465,66.64587182864466
169,149,1680,120.13095660164798
170,330,14568,130.02126637775987
171,4125,4124,23.487353645260733
172,4124,4125,23.487353645260733
173,338,337,36.93822150950592
174,2318,26489,254.04953377652583
175,377,341,58.1852434094184
176,341,342,59.54148104344524
177,342,359,51.698682898483966
178,359,339,56.14249886811745
179,343,342,119.97450602847752
180,342,344,117.8141413812862
181,346,341,78.65489360811637
182,341,345,118.55028320729234
183,349,1649,58.71828756987642
184,359,360,117.39754993109348
185,363,364,90.13512805656389
186,365,363,79.82290075480478
187,363,365,79.82290075480478
188,348,1715,21.0340823549472
189,2868,355,285.59244906310505
190,386,387,81.26884498770966
191,2194,2195,435.0496631083318
192,348,349,109.64948797189707
193,406,404,74.20470266322327
194,414,12274,20.718036168977857
195,12274,414,20.718036168977857
196,414,413,299.44390980574786
197,413,31323,40.45496563576496
198,31323,16586,590.364198039234
199,415,19670,1504.7338160385043
200,420,419,61.85667842763687
201,422,19797,146.740173156731
202,427,21811,32.635031225825415
203,21811,426,116.809829211191
204,429,430,196.20126995117093
205,430,2908,70.80829421693828
